company,market,market_ru,about,description,earnings,stage,inter_track,company_link,sbis_link
unspot,business software,программное обеспечение для бизнеса,система для бронирования офисного пространства,"система unspot – это программное обеспечение для бронирования, позволяющее сотрудникам временно резервировать для себя любое незакрепленное рабочее место в офисе компании. по помогает руководителям управлять своими подразделениями более гибко, отслеживать посещаемость работников и снижать расходы на аренду офиса. unspot позволяет: оптимизировать расходы на аренду офиса; с помощью предоставляемой аналитики понять, как сотрудники используют офис и сделать его более привлекательным для них; вырастить hr-бренд компании.преимущества: - компания демонстрирует устойчивый рост финансовых показателей;- компания обладает существенным потенциалом в условиях развития гибридного формата работы, а также обширного распространения офисов типа «коворкинг».",до 100 млн.руб,seed,True,https://unspot.com/,https://sbis.ru/contragents/9731082118/773101001
реокат,industrialtech,промышленные технологии,производят катализаторы для нефтехимии,"компания ооо «реокат» работает в области сервиса катализаторов нефтепереработки и систем аминовой очистки газов. компания специализируется на релизации проектов связанных с:1. мобильными комплексами высокоэффективной регенерации наноструктурированных катализаторов гидропроцессов нефтепереработки, включающий блок очистки отходящих газов.2. сервисе катализаторных систем: компания  оказывает услуги по выгрузке и загрузке катализаторов и адсорбентов, сульфидированию катализаторов гидроочистки.3. компания занимается очисткой аминовых растворов от механических примесей и термостабильных солей.цеолит представляет собой гранулы, длиной 3-6 мм и диаметром 1-2 мм. при эксплуатации цеолита на установках очистки или осушки в течение нескольких лет на нем накапливаются сера и углерод, которые не могут быть удалены при регенерации в процессе и снижают его емкость. цеолит выгружают из адсорберов и заменяют на новый. отработанный цеолит направляется на утилизацию. срок службы цеолита — от 6 месяцев до 4 лет.",100-500 млн.руб.,раунд а,False,https://reocat.ru/,https://sbis.ru/contragents/9731049544/501801001
workface,e-commerce,электронная коммерция,онлайн конструктор для интернет магазина,"компания специализируется на разработке приложения-конструктора для интернет магазина. решение помогает создать, настроить и запустить собственный b2b интернет-магазин. проект также включает в себя crm-систему и бизнес-аналитику. компания действует на рынке сша.",100-500 млн.руб.,раунд b,True,,
аллока,advertising & marketing,реклама и маркетинг,программа отслеживания рекламы с сайта.,"программа отслеживания рекламы с сайта. коллтрекинг помогает узнать, какая реклама работает или откуда приходят клиенты.на сайт добавляют специальный код, который определяет, с какой рекламы человек пришел на сайт.",до 100 млн.руб,pre-seed,False,https://alloka.ru/,https://sbis.ru/contragents/5262252364/526001001
инновации детям,hardware,аппаратное обеспечение,создают итерактивное оборудование для обучения детей,"playstand  — производитель интеректавно оборудование для детей, такое как интерактивный скалодром, интерактивная песочница и тд. платформа компании, предлагает разнообразные игры и развлекательные сервисы. он предоставляет пользователям доступ к широкому спектру интерактивных игр, включая видеоигры, настольные игры и головоломки. платформа предназначена для людей всех возрастов, которые заинтересованы в увлекательных и развлекательных мероприятиях.преимущества:разнообразный выбор игр: playstand.ru предлагает широкий выбор игр, гарантируя, что у пользователей будет из чего выбирать. будь то динамичные видеоигры, стратегические настольные игры или стимулирующие ум головоломки, платформа стремится предоставить что-то для всех.удобство: как онлайн-платформа playstand.ru позволяет пользователям получать доступ к играм и развлекательным сервисам, не выходя из собственного дома. нет необходимости посещать физические магазины или проходить через хлопотные процессы установки. пользователи могут просто войти на платформу и начать играть.",100-500 млн.руб.,раунд а,True,https://playstand.ru/contacts/,https://sbis.ru/contragents/7448159903/744801001
doczilla,business software,программное обеспечение для бизнеса,платформа управления документами с помощью ai.,"doczilla.pro — это платформа управления документами с помощью ai, которая предоставляет различные решения, связанные с обработкой документов и совместной работой. несколько возможных решений, которые может предложить doczilla.pro:создание и редактирование документов. платформа, предоставляет инструменты и функции для создания и редактирования документов. пользователи могут иметь возможность создавать профессионально выглядящие документы, такие как отчеты, контракты или презентации, используя шаблоны или индивидуальный дизайн. платформа также может предлагать возможности форматирования текста, стилизации и редактирования.хранение и организация документов: doczilla.pro может предложить облачную систему хранения, в которой пользователи могут безопасно хранить и упорядочивать свои документы. платформа может предоставлять такие функции, как папки, теги и функции поиска, чтобы помочь пользователям эффективно управлять своими файлами и находить их.преимуществами компании являются кейсы с корпорациями ""мтс"" и ""сбер"".",до 100 млн.руб,seed,True,https://doczilla.pro/,https://sbis.ru/contragents/7709923315/770401001
ailet,retailtech,розничная торговля,аналитика полочного пространства,"поставщик аналитических услуг на базе технологии распознавания изображений, лидер рынка рф по количеству клиентов и выручке. помогают клиентам в сфере fmcg, фармы и ритейла повысить операционную эффективность и увеличить продажи за счет оцифровки полочного пространства. компания предлагает решение по оптимизации процесса инвентаризации, мониторинга цен, использование обширных аналитических инструментов bi для повышения эффективности, продаж и прибыльности в торговых точках с помощью решений распознавания изображений",100-500 млн.руб.,раунд b,True,https://ailet.ru/,https://sbis.ru/contragents/7731324003/773101001
трайсэл солюшнс,industrialtech,промышленные технологии,инновационная технология производства спг,"компания специализируется  поиске и разработке энергоэффективных технологических решений для комплексной реализации проектов в нефтяной и газовой отраслях промышленности.ключевые решения – технология мало- и среднетоннажного производства сжиженного природного газа (спг), основанная на цикле одноконтурного охлаждения смешанным хладагентом (технология ts-smr) и технология крупнотоннажного производства спг, основанная на применении инновационного метода прямого впрыска хладагента в газовый поток на этапе предварительного охлаждения сырьевого газа (технология dri).преимуществом компании является уникальная технология российского производства, также тот факт, что отдельные технологические решения включены в перечень наилучших доступных технологий в газодобывающей промышленности российской федерации и утверждены росстандартом (итс 29-2017 «добыча природного газа»).",до 100 млн.руб,раунд а,False,https://navigator.sk.ru/orn/1121253,https://sbis.ru/contragents/5190054459/519001001
джи-тэк,industrialtech,промышленные технологии,инновационная технология производства спг,"компания специализируется на производстве комплекса локальной малотоннажной переработки пнг в коммерчески значимые продукты – в целях поднятия доходности объектов нефтегазовой отрасли, малых, средних и /или удаленных месторождений.результатом деятельности комплекс переработки пнг будут товарные продукты:• этилен – ацетиленовая газовая смесь (эагс);• ароматические углеводородов бензол-толуоловой группы (бтг)а также тепловая и электрическая энергия.главным блоком комплекса является блок электрохимической активации и конверсии углеводородов.разрабатываемый комплекс малотоннажной газохимической переработки g-tech предназначен для работы на пунктах сепарации и получения товарных продуктов пнг:- очищенная стабильная этилен-ацетиленовая газовая смесь;- ароматические углеводороды — опционально;- сера комковая/гранулированная — опционально;- электрическая и тепловая энергия — опционально;- водород и кислород в топливный газ для улучшения энергобаланса комплекса.основой комплекса g-tech является блок электрохимической активации и конверсии углеводородов.ожидаемая кинетика процессов: конверсия до 30 % в однопроходном исполнении и до 80 % в случае применения рецикла.компания провела эксперименты, предварительные расчёты, нир по электрохимической активации метана и подтвердили концепцию.сейчас компания находится на стадии поиска источника инвестиций, для того чтобы совместно с промышленными партнёрами, заинтересованными внедрении комплекса на своих месторождениях, провести ниокр и подготовиться к серийному производству .успешное применение комплекса g-tech будет обеспечиваться минимальными затратами на opex, благодаря радикальному сокращению количества расходных материалов и потребности во внешней инфраструктуре.",до 100 млн.руб,seed,False,https://g-tech.energy/,https://sbis.ru/contragents/8601070631/860101001
максинвент,industrialtech,промышленные технологии,инновационная технология обеззараживания воды,"компания специализируется на  разработке инновационной технологии воздействия электромагнитным полем на обрабатываемые жидкие и твердые вещества в присутствии ферромагнитных элементов и наночастиц металлов и их соединений. при обработке происходит деионизация, обеззараживание и обезгаживание воды и уничтожается патогенная микрофлора и микроорганизмы, удаление тяжелых металлов, а также очистка жидких отходов.преимуществом компании является инновационная разработка, которая была протестирована в течение длительного периода времени испытания. эффективность решения была подтверждена потенциальными партнерами (пао «газпром нефть», ассоциацией нефтепереработчиков, ао «татнефть», различными предприятиями нефтепереработки).",до 100 млн.руб,раунд а,False,https://navigator.sk.ru/orn/1123424,https://sbis.ru/contragents/7707838199/772901001
